Symbol,Name,Index,Type,Asset_Class
AAF.L,Airtel Africa PLC,FTSE 100,UK Stock,UK Equity
AAL.L,Anglo American PLC,FTSE 100,UK Stock,UK Equity
ABF.L,Associated British Foods PLC,FTSE 100,UK Stock,UK Equity
ADM.L,Admiral Group PLC,FTSE 100,UK Stock,UK Equity
AHT.L,Ashtead Group PLC,FTSE 100,UK Stock,UK Equity
ALW.L,Alliance Witan PLC,FTSE 100,UK Stock,UK Equity
ANTO.L,Antofagasta PLC,FTSE 100,UK Stock,UK Equity
AUTO.L,Auto Trader Group PLC,FTSE 100,UK Stock,UK Equity
AV/.L,Aviva PLC,FTSE 100,UK Stock,UK Equity
AZN.L,AstraZeneca PLC,FTSE 100,UK Stock,UK Equity
BA/.L,BAE Systems PLC,FTSE 100,UK Stock,UK Equity
BAB.L,Babcock International Group PLC,FTSE 100,UK Stock,UK Equity
BARC.L,Barclays PLC,FTSE 100,UK Stock,UK Equity
BATS.L,British American Tobacco PLC,FTSE 100,UK Stock,UK Equity
BEZ.L,Beazley PLC,FTSE 100,UK Stock,UK Equity
BKG.L,Berkeley Group Holdings PLC,FTSE 100,UK Stock,UK Equity
BNZL.L,Bunzl PLC,FTSE 100,UK Stock,UK Equity
BP/.L,BP PLC,FTSE 100,UK Stock,UK Equity
BRBY.L,Burberry Group PLC,FTSE 100,UK Stock,UK Equity
BT/A.L,BT Group PLC,FTSE 100,UK Stock,UK Equity
BTRW.L,Barratt Redrow PLC,FTSE 100,UK Stock,UK Equity
CCEP.L,Coca-Cola Europacific Partners PLC,FTSE 100,UK Stock,UK Equity
CCH.L,Coca-Cola HBC AG,FTSE 100,UK Stock,UK Equity
CNA.L,Centrica PLC,FTSE 100,UK Stock,UK Equity
CPG.L,Compass Group PLC,FTSE 100,UK Stock,UK Equity
CRDA.L,Croda International PLC,FTSE 100,UK Stock,UK Equity
CTEC.L,Convatec Group PLC,FTSE 100,UK Stock,UK Equity
DCC.L,DCC PLC,FTSE 100,UK Stock,UK Equity
DGE.L,Diageo PLC,FTSE 100,UK Stock,UK Equity
DPLM.L,Diploma PLC,FTSE 100,UK Stock,UK Equity
EDV.L,Endeavour Mining PLC,FTSE 100,UK Stock,UK Equity
ENT.L,Entain PLC,FTSE 100,UK Stock,UK Equity
EXPN.L,Experian PLC,FTSE 100,UK Stock,UK Equity
EZJ.L,easyJet PLC,FTSE 100,UK Stock,UK Equity
FCIT.L,F&C Investment Trust PLC,FTSE 100,UK Stock,UK Equity
FRES.L,Fresnillo PLC,FTSE 100,UK Stock,UK Equity
GAW.L,Games Workshop Group PLC,FTSE 100,UK Stock,UK Equity
GLEN.L,Glencore PLC,FTSE 100,UK Stock,UK Equity
GSK.L,GSK PLC,FTSE 100,UK Stock,UK Equity
HIK.L,Hikma Pharmaceuticals PLC,FTSE 100,UK Stock,UK Equity
HLMA.L,Halma PLC,FTSE 100,UK Stock,UK Equity
HLN.L,Haleon PLC,FTSE 100,UK Stock,UK Equity
HSBA.L,HSBC Holdings PLC,FTSE 100,UK Stock,UK Equity
HSX.L,Hiscox Ltd,FTSE 100,UK Stock,UK Equity
HWDN.L,Howden Joinery Group PLC,FTSE 100,UK Stock,UK Equity
IAG.L,International Consolidated Airlines Group SA,FTSE 100,UK Stock,UK Equity
ICG.L,ICG PLC,FTSE 100,UK Stock,UK Equity
IHG.L,InterContinental Hotels Group PLC,FTSE 100,UK Stock,UK Equity
III.L,3i Group PLC,FTSE 100,UK Stock,UK Equity
IMB.L,Imperial Brands PLC,FTSE 100,UK Stock,UK Equity
IMI.L,IMI PLC,FTSE 100,UK Stock,UK Equity
INF.L,Informa PLC,FTSE 100,UK Stock,UK Equity
ITRK.L,Intertek Group PLC,FTSE 100,UK Stock,UK Equity
JD/.L,JD Sports Fashion PLC,FTSE 100,UK Stock,UK Equity
KGF.L,Kingfisher PLC,FTSE 100,UK Stock,UK Equity
LAND.L,Land Securities Group PLC,FTSE 100,UK Stock,UK Equity
LGEN.L,Legal & General Group PLC,FTSE 100,UK Stock,UK Equity
LLOY.L,Lloyds Banking Group PLC,FTSE 100,UK Stock,UK Equity
LMP.L,LondonMetric Property PLC,FTSE 100,UK Stock,UK Equity
LSEG.L,London Stock Exchange Group PLC,FTSE 100,UK Stock,UK Equity
MKS.L,Marks & Spencer Group PLC,FTSE 100,UK Stock,UK Equity
MNDI.L,Mondi PLC,FTSE 100,UK Stock,UK Equity
MNG.L,M&G PLC,FTSE 100,UK Stock,UK Equity
MRO.L,Melrose Industries PLC,FTSE 100,UK Stock,UK Equity
MTLN.L,Metlen Energy & Metals PLC,FTSE 100,UK Stock,UK Equity
NG/.L,National Grid PLC,FTSE 100,UK Stock,UK Equity
NWG.L,NatWest Group PLC,FTSE 100,UK Stock,UK Equity
NXT.L,Next PLC,FTSE 100,UK Stock,UK Equity
PCT.L,Polar Capital Technology Trust PLC,FTSE 100,UK Stock,UK Equity
PHNX.L,Phoenix Group Holdings PLC,FTSE 100,UK Stock,UK Equity
PRU.L,Prudential PLC,FTSE 100,UK Stock,UK Equity
PSH.L,Pershing Square Holdings Ltd/Fund,FTSE 100,UK Stock,UK Equity
PSN.L,Persimmon PLC,FTSE 100,UK Stock,UK Equity
PSON.L,Pearson PLC,FTSE 100,UK Stock,UK Equity
REL.L,RELX PLC,FTSE 100,UK Stock,UK Equity
RIO.L,Rio Tinto PLC,FTSE 100,UK Stock,UK Equity
RKT.L,Reckitt Benckiser Group PLC,FTSE 100,UK Stock,UK Equity
RMV.L,Rightmove PLC,FTSE 100,UK Stock,UK Equity
RR/.L,Rolls-Royce Holdings PLC,FTSE 100,UK Stock,UK Equity
RTO.L,Rentokil Initial PLC,FTSE 100,UK Stock,UK Equity
SBRY.L,J Sainsbury PLC,FTSE 100,UK Stock,UK Equity
SDR.L,Schroders PLC,FTSE 100,UK Stock,UK Equity
SGE.L,Sage Group PLC/The,FTSE 100,UK Stock,UK Equity
SGRO.L,Segro PLC,FTSE 100,UK Stock,UK Equity
SHEL.L,Shell PLC,FTSE 100,UK Stock,UK Equity
SMIN.L,Smiths Group PLC,FTSE 100,UK Stock,UK Equity
SMT.L,Scottish Mortgage Investment Trust PLC,FTSE 100,UK Stock,UK Equity
SN/.L,Smith & Nephew PLC,FTSE 100,UK Stock,UK Equity
SPX.L,Spirax Group PLC,FTSE 100,UK Stock,UK Equity
SSE.L,SSE PLC,FTSE 100,UK Stock,UK Equity
STAN.L,Standard Chartered PLC,FTSE 100,UK Stock,UK Equity
STJ.L,St James's Place PLC,FTSE 100,UK Stock,UK Equity
SVT.L,Severn Trent PLC,FTSE 100,UK Stock,UK Equity
TSCO.L,Tesco PLC,FTSE 100,UK Stock,UK Equity
ULVR.L,Unilever PLC,FTSE 100,UK Stock,UK Equity
UU/.L,United Utilities Group PLC,FTSE 100,UK Stock,UK Equity
VOD.L,Vodafone Group PLC,FTSE 100,UK Stock,UK Equity
WEIR.L,Weir Group PLC/The,FTSE 100,UK Stock,UK Equity
WPP.L,WPP PLC,FTSE 100,UK Stock,UK Equity
WTB.L,Whitbread PLC,FTSE 100,UK Stock,UK Equity
